#,Lemma,Sprachen,Wortart,Deutsche Bedeutung,Englische Bedeutung,link
214,aírzeis* 4,got,Adj.,"irre geführt, irre, verführt","deluded, erring, misled, deceived, in error",https://koeblergerhard.de/wikiling/?f=got&page=11
215,aírziþa 2,got,F.,"Irrlehre, Irre, Irrtum","deception, deludedness, delusion",https://koeblergerhard.de/wikiling/?f=got&page=11
216,aírzjan* 4,got,V.,"irreführen, irre machen, verführen, Verführer (= airzjands)","delude, mislead, seducer (= airzjands)",https://koeblergerhard.de/wikiling/?f=got&page=11
217,*aiskōn?,got,V.,"fragen, fordern","ask, ask for, beg, demand (V.), look for",https://koeblergerhard.de/wikiling/?f=got&page=11
218,aistan* 3,got,V.,sich scheuen vor,"have regard for, have respect for, reverence (V.)",https://koeblergerhard.de/wikiling/?f=got&page=11
219,aiþei 44,got,F.,Mutter (F.) (1),mother (F.),https://koeblergerhard.de/wikiling/?f=got&page=11
220,*aiþeis?,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=11
221,aiþs* 4,got,M.,Eid,oath,https://koeblergerhard.de/wikiling/?f=got&page=12
222,aíþþau 157=156,got,Konj.,"oder, wo nicht, sonst, wenigstens","and as an alternative, alternatively, else, on the other hand, or, otherwise",https://koeblergerhard.de/wikiling/?f=got&page=12
223,*-aiw?,got,V.,"immer, jederzeit","ever, at any time",https://koeblergerhard.de/wikiling/?f=got&page=12
224,aíwaggēli* 7,got,N.,"Evangelium, frohe Botschaft","evangel, gospel, good tidings",https://koeblergerhard.de/wikiling/?f=got&page=12
225,aíwaggēlista 3,got,M.,Evangelist,evangelist,https://koeblergerhard.de/wikiling/?f=got&page=12
226,aíwaggēljan* 1,got,V.,das Evangelium verkünden,"evangelize, spread the gospel",https://koeblergerhard.de/wikiling/?f=got&page=12
227,aíwaggēljō 49=48,got,F.,"Evangelium, frohe Botschaft","evangel, gospel, good tidings",https://koeblergerhard.de/wikiling/?f=got&page=12
228,aiweins* 33,got,Adj.,ewig,"eternal, everlasting",https://koeblergerhard.de/wikiling/?f=got&page=12
229,aiwiski* 2,got,N.,"Schande, Schmach","shame (N.), disgrace",https://koeblergerhard.de/wikiling/?f=got&page=12
230,aiwiskōn* 1,got,V.,schändlich handeln,"behave disgracefully, treat shamefully",https://koeblergerhard.de/wikiling/?f=got&page=12
231,*aiwisks?,got,Adj.,schändlich,"disgraceful, shameful",https://koeblergerhard.de/wikiling/?f=got&page=12
232,*aiwjan?,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=12
233,aíwlaúgia* 1,got,M.,"Segen, Spende","blessing (N.), benefaction, charitable contribution, gift (N.), donation",https://koeblergerhard.de/wikiling/?f=got&page=12
234,aiws* 51,got,M.,"Zeit, Ewigkeit","age (N.), eternity, all time",https://koeblergerhard.de/wikiling/?f=got&page=12
235,aíwxaristia* 1,got,F.,"Dank, Danksagung","thanksgiving, prayer of thanksgiving",https://koeblergerhard.de/wikiling/?f=got&page=12
236,aiz* 1,got,N.,"Erz, Erzmünze","brass (N.), bronze (N.), copper (N.), copper coin",https://koeblergerhard.de/wikiling/?f=got&page=12
237,*aiza,got,F.,"Scheu, Achtung, Ehre","honour (N.), inhibition, respect (N.)",https://koeblergerhard.de/wikiling/?f=got&page=12
238,aizasmiþa 1,got,M.,"Erzschmied, Metallarbeiter","coppersmith, worker in bronze",https://koeblergerhard.de/wikiling/?f=got&page=12
239,ajukdūþs* 3,got,F.,Ewigkeit,eternity,https://koeblergerhard.de/wikiling/?f=got&page=12
240,*ajuks?,got,Adj.,ewig,eternal,https://koeblergerhard.de/wikiling/?f=got&page=12
241,ak 284=282,got,Konj.,"sondern (Konj.), aber, geh","but, on the contrary, however, but rather",https://koeblergerhard.de/wikiling/?f=got&page=13
242,*akan?,got,V.,"gehen, fahren, ziehen","drive (V.), go (V.), pull (V.)",https://koeblergerhard.de/wikiling/?f=got&page=13
243,akei 99=98,got,Konj.,aber,"but, despite this, nevertheless",https://koeblergerhard.de/wikiling/?f=got&page=13
244,akeit*,got,"M., N.",,,https://koeblergerhard.de/wikiling/?f=got&page=13
245,"akēt* 2, akeit*",got,"M., N.",Essig,"vinegar, wine vinegar, sour wine",https://koeblergerhard.de/wikiling/?f=got&page=13
246,akran 42,got,N.,"Frucht, Ertrag","fruit, results",https://koeblergerhard.de/wikiling/?f=got&page=13
247,akranalaus 1,got,Adj.,"„kornlos“, „fruchtlos“, unfruchtbar","fruitless, unfruitful, without fruit",https://koeblergerhard.de/wikiling/?f=got&page=13
248,akrs 6,got,M.,Acker,"field, open land",https://koeblergerhard.de/wikiling/?f=got&page=13
249,āl*,got,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=13
250,*ala?,got,Adj.,"all, ganz, völlig","all, the entire, the whole",https://koeblergerhard.de/wikiling/?f=got&page=13
251,alabalstraún* 1,got,N.,Salbenbüchse (aus Alabaster),alabaster flask,https://koeblergerhard.de/wikiling/?f=got&page=13
252,alabrunsts* 1,got,F.,Brandopfer,"burnt offering, entirety burning",https://koeblergerhard.de/wikiling/?f=got&page=13
253,*alakjis?,got,Adj.,gesamt,"whole, entire",https://koeblergerhard.de/wikiling/?f=got&page=13
254,alakjō 5,got,Adv.,"insgesamt, gesamt, zusammen","all, all inclusively, to a man, all together",https://koeblergerhard.de/wikiling/?f=got&page=13
255,alamannans*,got,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=13
256,"alamans* 1, alamannans*",got,M.,"Gesamtheit der Menschen, alle Menschen","all humanity, totality of man, entirety of mankind",https://koeblergerhard.de/wikiling/?f=got&page=13
257,alan* 1,got,V.,"wachsen (V.) (1), sich nähren, aufwachsen","grow on, feed on",https://koeblergerhard.de/wikiling/?f=got&page=13
258,alaþarba 1,got,Adj.,"„alldarbend“, an allem Mangel leidend, ganz arm","thoroughly destitute, totally in need, in complete privation",https://koeblergerhard.de/wikiling/?f=got&page=13
259,*alauds?,got,"M., N.","Allod, Vollgut, Gut",property,https://koeblergerhard.de/wikiling/?f=got&page=13
260,"*albs, *alfs",got,M.,"Alb, Dämon","demon, elf",https://koeblergerhard.de/wikiling/?f=got&page=13
261,*alda,got,Adj.,alt,old,https://koeblergerhard.de/wikiling/?f=got&page=14
262,aldōmō* 1,got,N.,Alter (N.),old age,https://koeblergerhard.de/wikiling/?f=got&page=14
263,*aldr,got,N.,Alter (N.),age (N.),https://koeblergerhard.de/wikiling/?f=got&page=14
264,*aldrs,got,,,,https://koeblergerhard.de/wikiling/?f=got&page=14
265,alds* 13,got,F.,"Menschenalter, Zeit","generation, age (N.), life span, lifetime",https://koeblergerhard.de/wikiling/?f=got&page=14
266,*alduma,got,"Adj., Adj.",alt,"aged, elderly",https://koeblergerhard.de/wikiling/?f=got&page=14
267,aleina* 1,got,F.,Elle,"cubit, ell",https://koeblergerhard.de/wikiling/?f=got&page=14
268,alēw* 3,got,N.,Öl,olive oil,https://koeblergerhard.de/wikiling/?f=got&page=14
269,alēwabagms 6,got,M.,Ölbaum,olive tree,https://koeblergerhard.de/wikiling/?f=got&page=14
270,alēwja* 2,got,Adj.,Öl-,"of olives, pertaining to olives",https://koeblergerhard.de/wikiling/?f=got&page=14
271,*alfs?,got,M.,,,https://koeblergerhard.de/wikiling/?f=got&page=14
272,*alh-,got,M.,Gott,god,https://koeblergerhard.de/wikiling/?f=got&page=14
273,alhs 32,got,"F., Sb.","Tempel, Hain?",temple,https://koeblergerhard.de/wikiling/?f=got&page=14
274,*ali-,got,Adj.,andere,"another, other",https://koeblergerhard.de/wikiling/?f=got&page=14
275,alis*,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=14
276,*alisa?,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=14
277,*alisi?,got,F.,Erle,alder,https://koeblergerhard.de/wikiling/?f=got&page=14
278,*alisna?,got,F.,Ahle,"awl, pricker",https://koeblergerhard.de/wikiling/?f=got&page=14
279,*alisō?,got,F.,Erle,alder,https://koeblergerhard.de/wikiling/?f=got&page=14
280,aliþs*,got,"V., Adj.",gemästet,fattened,https://koeblergerhard.de/wikiling/?f=got&page=14
281,"*aliza, *alisa",got,F.,Erle,alder,https://koeblergerhard.de/wikiling/?f=got&page=15
282,alja 19,got,"Konj., Präp.",außer,"but, else than, except, other than, save (Präp.), unless",https://koeblergerhard.de/wikiling/?f=got&page=15
283,aljakuns 3,got,Adj.,"anderswoher stammend, gegen die Natur, von einem anderen Geschlecht, von fremder>>>","foreign, of different kin, of foreign origin, strange, contrary to nature",https://koeblergerhard.de/wikiling/?f=got&page=15
284,aljaleikō 4,got,Adv.,anders,"otherwise, differently, unorthodoxly",https://koeblergerhard.de/wikiling/?f=got&page=15
285,*aljaleikōn?,got,V.,,,https://koeblergerhard.de/wikiling/?f=got&page=15
286,aljaleikōs,got,"Adv., Adj.",,,https://koeblergerhard.de/wikiling/?f=got&page=15
287,aljaleikōþs* 1,got,"V., Adj.","anders gebildet, allegorisch, bildlich, anders gemeint","allegorical, allegorically portrayed, analogically configured, with a different >>>",https://koeblergerhard.de/wikiling/?f=got&page=15
288,*aljaleiks?,got,Adj.,andere,"another, other",https://koeblergerhard.de/wikiling/?f=got&page=15
289,aljan* (1) 3,got,V.,mästen,"cause to wax fat, fatten",https://koeblergerhard.de/wikiling/?f=got&page=15
290,aljan (2) 13,got,N.,Eifer,"avidity, eagerness, zeal",https://koeblergerhard.de/wikiling/?f=got&page=15
291,aljanōn 5,got,V.,"eifern, eifern für","strive for, manifest zeal for",https://koeblergerhard.de/wikiling/?f=got&page=15
292,aljar 2,got,Adv.,anderswo,"absent, away from here, elsewhere, somewhere else",https://koeblergerhard.de/wikiling/?f=got&page=15
293,aljaþ 1,got,Adv.,anderswohin,"to somewhere else, elsewhither, elsewhere, to another place",https://koeblergerhard.de/wikiling/?f=got&page=15
294,aljaþrō 4,got,Adv.,anderswoher,"elsewhence, elsewhere, from elsewhere, somewhere else, somewhere, by another way",https://koeblergerhard.de/wikiling/?f=got&page=15
295,"aljis* 5, alis*",got,Adj.,andere,"another, other",https://koeblergerhard.de/wikiling/?f=got&page=15
296,*allandjis?,got,Adj.,völlig,"complete (Adj.), entire (Adj.), full (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=15
297,allandjō 1,got,Adv.,"völlig, vollständig, ganz und gar","completely, wholly",https://koeblergerhard.de/wikiling/?f=got&page=15
298,allaþrō 2,got,Adv.,von allen Seiten,"from all sides, from all directions, from everywhere",https://koeblergerhard.de/wikiling/?f=got&page=15
299,allawaúrstwa* 1,got,Adj.,"„allwirkend“, vollkommen","one effectuating everything, one executing all things, person fulfilling everyth>>>",https://koeblergerhard.de/wikiling/?f=got&page=15
300,allawērei* 2,got,F.,Redlichkeit,"simplicity, sincerity, wholehearted accord, complete agreeability, total agreeme>>>",https://koeblergerhard.de/wikiling/?f=got&page=15
301,"*allawēreis?, *allawērs?",got,"Adj., Adj.",redlich,"sincere, completely agreeing, completely agreeable",https://koeblergerhard.de/wikiling/?f=got&page=16
302,*allawērs?,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=16
303,allis 27,got,"Adv., Konj.","überhaupt, denn","absolutely, in general, at all (in neg. sentences), because, completely, for, in>>>",https://koeblergerhard.de/wikiling/?f=got&page=16
304,alls 606=603,got,Adj.,"all, jeder, ganz, viel","all, all of, the entire, every, the whole",https://koeblergerhard.de/wikiling/?f=got&page=16
305,allswerei,got,F.,,,https://koeblergerhard.de/wikiling/?f=got&page=16
306,alluh,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=16
307,allwaldands 2,got,M.,"allmächtig, Allmächtiger, Allwaltender","ruler, all-ruler, almighty",https://koeblergerhard.de/wikiling/?f=got&page=16
308,alt,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=16
309,*alþan?,got,V.,"altern, alt werden",grow old,https://koeblergerhard.de/wikiling/?f=got&page=16
310,alþeis 6,got,Adj.,alt,old,https://koeblergerhard.de/wikiling/?f=got&page=16
311,alþiza,got,Adj.,,,https://koeblergerhard.de/wikiling/?f=got&page=16
312,*amals?,got,Adj.,"tapfer, tätig","active, brave",https://koeblergerhard.de/wikiling/?f=got&page=16
313,amen 81,got,Interj.,amen,amen,https://koeblergerhard.de/wikiling/?f=got&page=16
314,"ams* 1, amsa*?",got,"M., M.",Schulter,shoulder (N.),https://koeblergerhard.de/wikiling/?f=got&page=16
315,an 5,got,Partikel,"denn, nun","so, then, well (Adv.)",https://koeblergerhard.de/wikiling/?f=got&page=16
316,ana (1) 276,got,"Präp., V., Adv.","darauf, außerdem, an, auf, in, über","on account of, at, during, in, into, on, onto, over, for the sake of, upon",https://koeblergerhard.de/wikiling/?f=got&page=16
317,*ana (2),got,M.,"Ahne, Vorfahre",ancestor,https://koeblergerhard.de/wikiling/?f=got&page=16
318,anaaukan 5,got,V.,"hinzufügen zu, fortfahren","add, augment (V.)",https://koeblergerhard.de/wikiling/?f=got&page=16
319,anabiudan* 40,got,V.,"entbieten, befehlen, anordnen","bid (V.), command (V.), instruct, order (V.)",https://koeblergerhard.de/wikiling/?f=got&page=16
320,anabūsns 45,got,F.,"Gebot, Befehl","charge (N.), command (N.), commandment, order (N.), ordinance",https://koeblergerhard.de/wikiling/?f=got&page=16
321,anadrigkan* 1,got,V.,"antrinken, betrinken",get drunk,https://koeblergerhard.de/wikiling/?f=got&page=17
322,anafilh* 6,got,N.,"„Anvertrautes“, Empfehlung, Überlieferung","act of committing to s.o.’s safekeeping, commendation, recommendation, tradition>>>",https://koeblergerhard.de/wikiling/?f=got&page=17
323,anafilhan 21,got,V.,"übergeben (V.), überliefern, verpachten, empfehlen, anempfehlen, geben","commit to for safekeeping, give into the care of, put in the trust of, entrust w>>>",https://koeblergerhard.de/wikiling/?f=got&page=17
324,anagaggan* 1,got,V.,"kommen, künftig sein (V.)","come on, come by, approach (V.)",https://koeblergerhard.de/wikiling/?f=got&page=17
325,anahaban* 2,got,V.,"besitzen, innehaben","take hold of, possess (V.)",https://koeblergerhard.de/wikiling/?f=got&page=17
326,"anahaimeis* 2, anahaims*",got,Adj.,"in der Heimat befindlich, daheim, zuhause","at home, present (Adj.)",https://koeblergerhard.de/wikiling/?f=got&page=17
327,anahaitan* 6,got,V.,"anrufen, bitten, schelten","call on, call upon, invoke (V.), reprimand (V.), upbraid, berate, scold (V.)",https://koeblergerhard.de/wikiling/?f=got&page=17
328,anahamōn 1,got,V.,"die Bekleidung anlegen, anziehen","put on as clothing, don, get dressed",https://koeblergerhard.de/wikiling/?f=got&page=17
329,*anahaspan?,got,V.,aufhaspeln,"wind up, reel up",https://koeblergerhard.de/wikiling/?f=got&page=17
330,anahnaiwjan* 1,got,V.,niederlegen,"lower onto, lay down upon",https://koeblergerhard.de/wikiling/?f=got&page=17
331,anahneiwan* 2,got,V.,"sich niederbeugen, sich neigen, sich bücken","bend down to, stoop down to, bow (V.) (1)",https://koeblergerhard.de/wikiling/?f=got&page=17
332,anaƕeilan* 1,got,V.,"beruhigen, erquicken","give respite, give a rest period, give repose, set a rest",https://koeblergerhard.de/wikiling/?f=got&page=17
333,anainsakan* 1,got,V.,"auferlegen, hinzufügen","add by argumentation, impose through argumentation, bestow by argumentation, imp>>>",https://koeblergerhard.de/wikiling/?f=got&page=17
334,anakaúrjan* 1,got,V.,beschweren,"heap a burden upon, burden with an overload, cause pain",https://koeblergerhard.de/wikiling/?f=got&page=17
335,anaks 3,got,Adv.,"plötzlich, sogleich","suddenly, all at once",https://koeblergerhard.de/wikiling/?f=got&page=17
336,anakumbjan 25,got,V.,"sich niederlegen, zu Tisch legen, lagern","recline at table, lie (V.) (2) down to a meal",https://koeblergerhard.de/wikiling/?f=got&page=17
337,anakunnains* 1,got,F.,Lesung,"bringing into recognition, bringing into awareness through reading, reading (N.)",https://koeblergerhard.de/wikiling/?f=got&page=17
338,anakunnan 3,got,V.,lesen (V.) (1),"make acquire knowledge of by reading, teach or learn through reading",https://koeblergerhard.de/wikiling/?f=got&page=17
339,analageins* 2,got,F.,Auflegung,"laying on, superimposition",https://koeblergerhard.de/wikiling/?f=got&page=17
340,analagjan* 2,got,V.,"„einlegen“, auflegen, beibringen","put on, lay upon, inflict upon",https://koeblergerhard.de/wikiling/?f=got&page=17
341,analatjan* 2,got,V.,"verhindern, hindern, aufhalten, abhalten","detain, impede, hinder",https://koeblergerhard.de/wikiling/?f=got&page=18
342,analaugnei* 1,got,F.,Verborgenheit,"concealment, secretiveness, secrecy",https://koeblergerhard.de/wikiling/?f=got&page=18
343,analaugniba 1,got,Adv.,"im geheimen, heimlich, verborgen","secretly, covertly",https://koeblergerhard.de/wikiling/?f=got&page=18
344,analaugns* 6=5,got,Adj.,verborgen,"concealed, secret (Adj.), hidden",https://koeblergerhard.de/wikiling/?f=got&page=18
345,analeikō 1,got,Adv.,"auf gleiche Weise, gleichermaßen","likewise, in like manner, in the same way, similarly",https://koeblergerhard.de/wikiling/?f=got&page=18
346,*analeiks?,got,Adj.,"„ähnlich“, gleich",similar,https://koeblergerhard.de/wikiling/?f=got&page=18
347,anamahtjan* 8,got,V.,"vergewaltigen, rauben, kränken, quälen, erpressen, misshandeln, beleidigen, schm>>>","use force on, force (V.), use violence against, treat with violence, do violence>>>",https://koeblergerhard.de/wikiling/?f=got&page=18
348,anamahts* 2,got,F.,"Übermacht, Misshandlung","coercion, forcing, use of force on, superior force, insult (N.)",https://koeblergerhard.de/wikiling/?f=got&page=18
349,anamēljan 1,got,V.,"aufschreiben, sich in die Steuerlisten eintragen lassen","register (V.), write down one’s entry, write down an entry, enroll",https://koeblergerhard.de/wikiling/?f=got&page=18
350,anaminds* 1,got,F.,"versteckte Meinung, Vermutung","suspecting, suspicion, surmising (N.), surmise (N.), supposition",https://koeblergerhard.de/wikiling/?f=got&page=18
351,*anan?,got,V.,"atmen, hauchen",breathe,https://koeblergerhard.de/wikiling/?f=got&page=18
352,ananamnjan* 1,got,V.,"benennen, nennen, rufen","label (V.), nickname (V.), call (V.)",https://koeblergerhard.de/wikiling/?f=got&page=18
353,anananþjan* 4,got,V.,"Mut fassen, sich erkühnen, wagen","dare, take courage, have the audacity to, be audacious",https://koeblergerhard.de/wikiling/?f=got&page=18
354,ananauþjan* 1,got,V.,"durch Zwang veranlassen, nötigen, zwingen","compel, force (V.)",https://koeblergerhard.de/wikiling/?f=got&page=18
355,ananiujan* 3,got,V.,"erneuern, sich erneuern, erneuert werden",renew,https://koeblergerhard.de/wikiling/?f=got&page=18
356,ananiujiþa* 1,got,F.,Erneuerung,"renewal, renewing",https://koeblergerhard.de/wikiling/?f=got&page=18
357,anapraggan* 1,got,V.,"bedrängen, bedrücken","press upon, oppress, trouble (V.)",https://koeblergerhard.de/wikiling/?f=got&page=18
358,anaqal* 1,got,"M., N.","Ruhe, Beruhigung","tranquilization, quieting down, calm (N.), quiet (N.), rest (N.) (1)",https://koeblergerhard.de/wikiling/?f=got&page=18
359,*anaqilan?,got,V.,zur Ruhe kommen,come to rest,https://koeblergerhard.de/wikiling/?f=got&page=18
360,anaqiman* 1,got,V.,"hinzutreten zu, hinzukommen","come upon, come unto, approach (V.)",https://koeblergerhard.de/wikiling/?f=got&page=18
361,anaqiss* 2,got,F.,"Lästerung, Schmährede","blasphemy, slander (N.), verbal attack, abusive speech",https://koeblergerhard.de/wikiling/?f=got&page=19
362,anaqiþan* 1,got,V.,"verleumden, verlästern, schmähen","denounce, censure (V.), inveigh against, blaspheme",https://koeblergerhard.de/wikiling/?f=got&page=19
363,anaqiujan 1,got,V.,"beleben, erwecken, lebendig machen","liven up, revitalize, revivify, rekindle, make alive",https://koeblergerhard.de/wikiling/?f=got&page=19
