#,Lemma,Sprachen,Wortart,Deutsche Bedeutung,Englische Bedeutung
350,anaminds* 1,got,F.,"versteckte Meinung, Vermutung","suspecting, suspicion, surmising (N.), surmise (N.), supposition"
351,*anan?,got,V.,"atmen, hauchen",breathe
352,ananamnjan* 1,got,V.,"benennen, nennen, rufen","label (V.), nickname (V.), call (V.)"
353,anananþjan* 4,got,V.,"Mut fassen, sich erkühnen, wagen","dare, take courage, have the audacity to, be audacious"
354,ananauþjan* 1,got,V.,"durch Zwang veranlassen, nötigen, zwingen","compel, force (V.)"
355,ananiujan* 3,got,V.,"erneuern, sich erneuern, erneuert werden",renew
356,ananiujiþa* 1,got,F.,Erneuerung,"renewal, renewing"
357,anapraggan* 1,got,V.,"bedrängen, bedrücken","press upon, oppress, trouble (V.)"
358,anaqal* 1,got,"M., N.","Ruhe, Beruhigung","tranquilization, quieting down, calm (N.), quiet (N.), rest (N.) (1)"
359,*anaqilan?,got,V.,zur Ruhe kommen,come to rest
360,anaqiman* 1,got,V.,"hinzutreten zu, hinzukommen","come upon, come unto, approach (V.)"
361,anaqiss* 2,got,F.,"Lästerung, Schmährede","blasphemy, slander (N.), verbal attack, abusive speech"
362,anaqiþan* 1,got,V.,"verleumden, verlästern, schmähen","denounce, censure (V.), inveigh against, blaspheme"
363,anaqiujan 1,got,V.,"beleben, erwecken, lebendig machen","liven up, revitalize, revivify, rekindle, make alive"
364,anasilan* 1,got,V.,"still werden, nachlassen, verstummen","sink to rest, come to a standstill, become quiescent, cease, grow calm"
365,*anasiuniba,got,Adv.,sichtbar,"visible, seeable"
366,anasiuns* 2,got,Adj.,sichtbar,"visible, seeable"
367,anaslawan* 1,got,V.,"verstummen, still werden","become silent, become tranquil, become quiet"
368,anaslēpan* 4,got,V.,"„einschlafen“, entschlummern, entschlafen","go to sleep, fall asleep"
369,anastōdeins 13,got,F.,Anfang,"beginning (N.), commencement, start (N.)"
370,anastōdjan* 9,got,V.,"anfangen, anheben, beginnen","begin (V.), start (V.)"
371,anatimrjan* 21,got,V.,"„aufzimmern“, daraufbauen, aufbauen","build upon, construct upon"
372,*anatjan?,got,V.,zwingen,force (V.)
373,anatrimpan* 1,got,V.,"bedrängen, drängen, hinzutreten, zudrängen","tread up close onto, step up close to, crowd by stepping right next to"
374,"anaþaíma 2, anaþema*",got,Sb.,"„Fluch“, Verfluchter","anathema, curse (N.), accursed thing, accursed one"
375,anaþema*,got,Sb.,,
376,anaþiwan* 1,got,V.,"unterjochen, in Dienstbarkeit bringen, dienstbar machen","subjugate (V.), subdue, enthrall, enslave, put in bondage"
377,anaþrafstjan* 2,got,V.,"„trösten“, erquicken","refresh, put in good spirits, cheer up, relieve"
378,anawaírþs* 11,got,Adj.,zukünftig,"future (Adj.), to come"
379,anawammjan* 1,got,V.,"beflecken, tadeln","furnish with a flaw, mar, stain (V.)"
380,anawiljei 3,got,F.,"Billigkeit, Ehrbarkeit","equanimity, self-possession, sedateness, moderation, dignity"
381,*anawiljis?,got,Adj.,"ehrbar, redlich","self-controlled, dignified"
382,"and 35, anda",got,"Präp., V.","entlang, über ... hin, auf ... hin","from one side to the other, throughout, through, on, over, along, on by"
383,anda- (1),got,V.,,
384,*anda- (2),got,Sb.,Ende,"end (N.), extremity"
385,andabaúhts* 1,got,F.,"„Gegenkauf“, Lösegeld",ransom (N.)
386,andabeit 1,got,N.,Tadel,"reproach (N.), rebuke (N.), censure (N.), castigation"
387,andahafts 3,got,F.,"Antwort, Verteidigung","answer (N.), reply (N.), defense, argument (N.), verdict"
388,andahait* 3,got,N.,Bekenntnis,"acknowledgement, confession, recognition"
389,andalauni 3,got,N.,"Gegenlohn, Vergeltung","recompense (N.), reward (N.), return (N.)"
390,andanahti 6,got,N.,Abend,evening
391,*andanahts?,got,F.,,
392,andaneiþa* 3,got,"M., Adj.",feindlich,"opposed, antagonistic, contrary (Adj.), hostile"
393,*andaneiþs?,got,Adj.,"widrig, entgegengesetzt, feindlich, im Gegenteil","opposed, antithetical, contrary (Adj.), antagonistic"
394,andanēm* 1,got,N.,"„Entgegennahme“, Empfang, Empfangen, Annahme","taking (N.), intake, acceptance, receiving (N.)"
395,andanēmeigs 1,got,Adj.,"„entgegennehmend“, festhaltend","taking (N.), accepting, holding fast"
396,andanēms 87,got,Adj.,angenehm,"acceptable, pleasant"
397,andanumts 4,got,F.,"Annahme, Aufnahme, Erhebung","taking up, acceptance"
398,andasēts* 2,got,Adj.,"verabscheuenswert, verabscheuenswürdig","causing aversion, abhorrent, repugnant, detestable"
399,andastaþjis* 3,got,M.,"„Entgegenstehender“, Widersacher","opponent (M.), adversary (M.)"
400,andastaua 2,got,M.,"Gegner vor Gericht, Widersacher","legal opponent, adversary in a lawsuit, opposing litigant"
401,andaþāhts 6,got,Adj.,"nüchtern, verständig, vernünftig","thinking (Adj.), rational, sensible"
402,andaugi* 2,got,N.,"Antlitz, Gesicht","face (N.), countenance, gaze (N.)"
403,andaugiba 4,got,Adv.,"offen, freimütig","obviously, in plain sight, openly, for all to see"
404,andaugjō 3,got,Adv.,"offen, offenbar, öffentlich","in plain sight, openly, publicly, for all to see"
405,andawaírþi 2,got,N.,"„Gegenwert“, Preis","price, cost (N.), purchase price"
406,andawaúrdi* 3,got,N.,Antwort,"answer (N.), reply (N.), response"
407,andawizns* 3,got,F.,"Notdurft, Unterhalt, Sold","living expenses, subsistence, sustenance, essentials, necessities, needs"
408,andawleizn* 5,got,N.,"Angesicht, Antlitz, Gesicht","face (N.), countenance"
409,*andawliti?,got,N.,"Antlitz, Gesicht, Angesicht","face (N.), countenance"
410,andbahti 2524,got,N.,"Amt, Dienst","service, office, assistance, ministry, ministration"
411,andbahtjan 2322,got,V.,"leisten, dienen, besorgen, darreichen","serve, minister (V.), administer, perform"
412,andbahts 4039,got,M.,Diener,"servant, minister (M.), server"
413,andbeitan 9,got,V.,"schelten, bedrohen, in Verlegenheit geraten (V.), tadeln, anfahren","scold (V.), threaten, snap at, rebuke, censure (V.), castigate"
414,andbindan 13,got,V.,"entbinden, lösen, auflösen, erklären, losbinden","unbind, loose (V.)"
415,andbundnan* 1,got,V.,"entbunden werden, gelöst werden","be unbound, become unbound, be released, become released, be untied, become unti>>>"
416,andeis 1514,got,M.,Ende,"end (N.), extremity"
417,andhafjan 138,got,V.,"erwidern, antworten, entgegnen","reply (V.), respond, answer (V.)"
418,andhaitan 15,got,V.,"bekennen, preisen, erklären","profess, confess, acknowledge, praise (V.)"
419,andhamōn* (sik) 1,got,V.,"entkleiden, ausziehen","divest, undress"
420,andhausjan* 9,got,V.,"gehorchen, erhören, erhört werden (= pers. Passiv)","listen to, hearken to, give heed to, heed (V.), obey"
421,andhruskan* 1,got,V.,"nachforschen, prüfen, untersuchen","investigate, question (V.), subject to the inquiring mind, apply acumen to, use >>>"
422,andhugjan 1,got,V.,,
423,andhuleins* 8,got,F.,"Enthüllung, Offenbarung","uncovering, revealing, revelation"
424,andhuliþs*,got,"V., Adj.","enthüllt, unverhüllt","uncovered, unveiled"
425,andhuljan 13,got,V.,"enthüllen, abdecken, entblößen, offenbaren","uncover, unveil, reveal (V.)"
426,*andi?,got,M.,Geist,ghost
427,andilaus* 2,got,Adj.,endlos,endless
428,andizuh 1,got,Konj.,"anders, sonst, entweder",either
429,*andjan?,got,V.,"enden, endigen",end (V.)
430,*andjō?,got,Adv.,,
431,*andlētan,got,V.,entlassen (V.),be let
432,andlētnan 1,got,V.,"scheiden, abscheiden, entlassen werden, aufgelöst werden, sich auflösen, sich lo>>>","be released, become released, separate (V.), die"
433,andniman 102,got,V.,"annehmen, aufnehmen, genießen, empfangen, wieder empfangen, erhalten (V.)","accept (V.), take in, take to o.s., take (V.), adopt, receive, take up, have rec>>>"
434,andqiþan 2,got,V.,"„entsagen“, Abschied nehmen, entlassen (V.), zusammenkommen mit, sprechen mit, s>>>","address with salutations, greet, salute (V.), say farewell to, take (verbal) lea>>>"
435,andrinnan* 2,got,V.,"„entgegenrennen“, streiten","dispute (V.), debate (V.), contradict, oppose, discuss"
436,andsaíƕan* 2,got,V.,"auf etwas sehen, berücksichtigen, achtgeben, ansehen, in Betracht ziehen, beacht>>>","look to, have regard for, give attention to, pay heed to, examine, note (V.)"
437,andsakan* 1,got,V.,"widersprechen, bekämpfen, bestreiten","controvert, gainsay, dispute (V.), speak against"
438,*andsakans?,got,"V., Adj.",bestritten,disputed
439,andsaljan 1,got,V.,"darbringen, opfern","pay in tribute to, offer as tribute to, sacrifice (V.)"
440,*andsatjan?,got,V.,,
441,andsitan* 4,got,V.,"scheuen, Rücksicht nehmen","be unsettled by, be upset by, lose (V.) one’s composure at, be discomfited by, a>>>"
442,*andsōks?,got,Adj.,"widerleglich, bestreitbar","controvertible, disputable"
443,andspeiwan* 1,got,V.,"entgegenspeien, ausspeien, verachten, verwerfen","spit at, expectorate against, despise"
444,andstald* 2,got,N.,"Darbietung, Beistand, Darreichung","support (N.), supply (N.), aid (N.), purveyance, furnishment"
445,andstaldan* 4,got,V.,"versehen, darreichen","supply (V.), put at the disposal of, accomodate with, afford s.o., afford s.th.,>>>"
446,andstandan 19,got,V.,"entgegenstehen, widerstehen, widerstreiten, widerstreben","oppose, resist, stand in opposition to, withstand"
447,andstaúrran* 1,got,V.,"Unwillen zeigen, widerspenstig sein (V.), anstarren, murren","stare antagonistically at, glower at, glare at, confront frowningly"
448,andtilōn* 2,got,V.,"anhangen, sich annehmen, dienen, helfen, beistehen","accomodate o.s. to, make o.s. fit to, conform to, adapt to, adjust to, be devote>>>"
449,andþagkjan (sik)* 3,got,V.,"einfallen, erinnern, gedenken, sich besinnen, überlegen (V.), bedenken, sich ent>>>","bear in mind, think of, envision (V.), present to one’s mind, consider, know"
450,anduh,got,Präp.,,
451,andwaíhan*,got,V.,,
452,andwaírþi* 8179,got,N.,"Gegenwart, Angesicht, Person, Gesicht","countenance, „face-to-face-ness“, presence, person"
453,andwaírþis 1,got,Adv.,gegenüber,"vis-a-vis, opposite (Adj.), over, against, facing (Adj.)"
454,andwaírþō 1,got,Adv.,sofort,"for the present, momentary, at once"
455,andwaírþs 9,got,Adj.,gegenwärtig,"present (Adj.), being present"
456,andwasjan* 1,got,V.,entkleiden,"unclothe, undress, divest"
457,andwaúrdjan* 1,got,V.,"widersprechen, antworten","answer (V.), answer back to, talk back to, contradict"
458,"andweihan* 2, andwaihan*",got,V.,"widerstreiten, ankämpfen, entgegenkämpfen","oppose with battle, fight in opposition to"
459,anetiare,got,V.,zwingen,"force (V.), compel"
460,annō* 2,got,F.,"Sold, Kosten (F. Pl.)","pay (N.), soldier’s pay, wages"
461,ano,got,F.,,
462,ans* (1) 3,got,M.,Balken,wooden beam
463,"*ans (2), (Pl. anseis)",got,M.,Götter (= anseis),gods (= anseis)
464,anses*,got,M.,Halbgötter,demigods
465,ansteigs 1,got,Adj.,"gnädig, günstig","beneficent, gracious"
466,ansts 6966,got,F.,"Freude, Dank, Gnade, Gunst, Gnadengabe","beneficence, graciousness, grace, joy (N.), thanks, gift (N.), favour (N.), bles>>>"
467,ansula* 2,got,M.,"kleiner Ase, kleiner Gott",little god
468,ansus* 2,got,M.,"Ase, Gott",god
469,*ant-,got,M.,Riese (M.),giant (M.)
470,anþar 159,got,"Adj., Num.","andere, zweite","other, second (Adj.), another, the other"
471,anþarleikei* 2,got,F.,Verschiedenheit,"otherness, different structure, different essence, diversity, difference"
472,anþarleikō 21,got,Adv.,anders,"essentially differently, otherwise, in substantively different manner"
473,*anþarleiks?,got,Adj.,verschieden (Adj.) (2),"substantively different, essentially different, constituted otherwise"
474,*anþs (1),got,Sb.,"Spitze, Ende","extremity, end (N.)"
475,*anþs (2),got,Sb.,"Geist, Seele","spirit, soul"
476,apaústaúlei* 2,got,F.,Apostolat,"apostleship, mission, apostolate, office of an apostle"
477,apaústaúlus 3736,got,M.,"Apostel, Bote, Abgesandter",apostle
478,apel,got,M.,,
479,*apls 1,got,M.,Apfel,apple
480,aqizi 1,got,F.,Axt,ax
481,ara* 1,got,M.,"Aar, Adler",eagle (N.)
482,Arabia 1,got,"F., LN",Arabien,Arabia
483,arbaidjan* 13,got,V.,"arbeiten, dulden, kämpfen für","work hard, toil (V.), labour (V.), strive, struggle (V.)"
484,arbaiþs 14,got,F.,"Arbeit, Drangsal, Hemmung, Bedrängnis","labour (N.), work (N.), toil (N.), distress, arduousness, troublesomeness, hards>>>"
485,arbi 8,got,N.,"Erbe (N.), Erbschaft","inheritance, heritage"
486,arbinumja 3,got,M.,"„Erbnehmer“, Erbe (M.)","heir, inheritor"
487,arbja 7,got,M.,Erbe (M.),"heir, inheritor"
488,arbjō 1,got,F.,Erbin,"heiress, inheritress"
489,arca 3,got,F.,Grenzwall,"border (N.), rampart"
490,*areinsdags?,got,M.,Dienstag,Tuesday
491,*arga?,got,M.,"Feigling, Elender",coward
492,*args?,got,Adj.,"feige, elend",cowardly (Adj.)
493,*arh?,got,N.,Pfeil,arrow
494,*arha,got,M.,Pfeil,arrow
495,*arƕa,got,F.,Pfeil,arrow
496,arƕazna* 1,got,F.,Pfeil,arrow
497,arjan* 1,got,V.,"pflügen, ackern",plough
498,*arjausdags?,got,M.,Dienstag,Tuesday
499,arka 3,got,F.,"Arche, Kasten, Futteral, Beutel (F.) (1), Geldkasten","box (N.), chest, the ark of Noah, money-box"
500,arkaggilus* 1,got,M.,Erzengel,archangel
501,armahaírtei 10,got,F.,Barmherzigkeit,"mercy, compassion, pity (N.)"
502,armahaírtiþa 3,got,F.,"Almosen, Barmherzigkeit","work of charity, charitable deed, mercy"
503,armahaírts* 1,got,Adj.,barmherzig,"merciful, compassionate, commiserative"
504,armaiō 109,got,F.,"Barmherzigkeit, Almosen","mercy, compassion, almsgiving (N.), charity"
505,arman* 10,got,V.,"sich erbarmen, bemitleiden","have mercy on, have pity on, show compassion towards"
506,arms* (1) 1,got,Adj.,"arm, beklagenswert, bemitleidenswert","poor (Adj.), pitiable, wretched, miserable"
507,arms (2) 4,got,M.,Arm,"arm, one of the two upper limbs of the body"
508,*arneis?,got,Adj.,sicher,secure (Adj.)
509,arniba 1,got,Adv.,"sicher, gewiss","certain, securely"
510,arōmata 1,got,N.,"Spezereien, Gewürze","spices, aromatic oils or salves"
511,*arþ?,got,Sb.,"Wohnsitz, Aufenthalt","residence, domicile"
512,*arus?,got,Adj.,"bereit, flink","ready, quick"
513,arwjō 3,got,Adv.,"umsonst, unentgeltlich, ohne Ursache, vergebens","gratis, without charge, in vain, for naught, for no reason, without cause"
514,asans 8,got,F.,"Sommer, Erntezeit, Ernte","harvest time, summertime, harvest (N.)"
515,Asia* 4,got,F.,Asien,Asia
516,asiluqaírnus 1,got,F.,"Eselsmühle, Mühlstein","donkey-quern, donkey-mill, millstone"
517,asilus* 3,got,M.,"Esel, Eselin",donkey
518,*aska?,got,F.,Äsche,a sort of fish
519,*asks?,got,F.,"Esche, Speer","ash-tree, spear (N.)"
520,asneis 6,got,M.,"Mietling, Tagelöhner","hired man, day-labourer, wage earner, paid servant"
521,*asnō?,got,F.,"Lohn, Zins","earnings, wages"
522,*aspa?,got,F.,Espe,aspen
523,assarjus* 1,got,M.,"Ass (Münze), Pfennig, Kreuzer (M.) (2)","assarion, coin worth one ace"
524,*assjan?,got,V.,,
525,"*-assus?, *assus?",got,"V., M.",,
526,"astaþ* 1, astaþs*",got,F.,"Sicherheit, Gewissheit","certainty, truth"
527,astaþs*,got,F.,,
528,asts 9,got,M.,"Ast, Streu von Laub, Zweig, Palmzweig","branch (N.), bough"
529,astualdus*,got,M.,,
530,at 170,got,"Präp., V.","von, bei, an, zu, unter, auf","from, at, with s.o., at a place, to, during, at the time of, while, when, with t>>>"
531,ataþni* 1,got,N.,Jahr,the year at hand
532,ataugjan 23,got,V.,"zeigen, erscheinen (= sik ataugjan)","bring before the eyes of, show to"
533,atbaíran* 12,got,V.,"bringen, herbeibringen, darbringen, hinzutragen","bring, offer (V.), bring to, take to, present to"
534,atdragan* 1,got,V.,herunterziehen,pull (V.) down
535,atdriusan* 7,got,V.,"fallen in, zufallen, fallen","fall towards, fall into, fall down at"
536,atfarjan* 1,got,V.,"einlaufen, landen","reach land, arrive by boat, land (V.), put into port"
537,atgagg* 2,got,N.,Zugang,"access (N.), approach (N.)"
538,atgaggan* 62,got,V.,"hinzugehen, kommen, hinzukommen","go to, betake o.s. to, proceed to, come down to, come up to"
539,*atgāhts (1),got,F.,Eingang,entrance (N.)
540,*atgāhts (2),got,Adj.,zugänglich,"accessible, approachable"
541,atgaraíhtjan* 1,got,V.,"vollends in Ordnung bringen, wiederherstellen, einrichten","add to the rectification of, give additional correction to, set in order"
542,atgiban 74,got,V.,"hingeben, übergeben (V.), geben, darreichen","give unto, deliver into the custody of, give over to"
543,athaban* (sik du) 1,got,V.,"„anhalten“, nähern","betake, approach (V.)"
544,athafjan 1,got,V.,"„herabheben“, herabnehmen","lift down off, bring up off, take down"
545,athāhan* 2,got,V.,"hinabhängen, hinablassen, hinunterlassen, niederlassen","lower while suspending, let down, let hang down, set down"
546,athaitan* 15,got,V.,herzurufen,"summon (V.), call to one’s side, bid come"
547,athe,got,Num.,,
548,atisk* 2,got,M.,"Saat, Saatfeld","standing grain, grainfield, wheat fields"
549,*atjan?,got,V.,essen lassen?,let eat
550,atkunnan* 1,got,V.,"gewähren, zuerkennen","acknowledge, learn to know"
551,atlagjan* 8,got,V.,"hinlegen, auflegen, Geld anlegen, legen, werfen, aufsetzen","lay on, lay onto, lay into, lay at, lay before, deposit at"
552,atlaþōn* 2,got,V.,"berufen (V.), einladen (V.) (1), laden (V.) (1)","call to, bid come, call together, invite"
553,*atlēweins?,got,F.,Verrat,treason
554,*atlēweis?,got,M.,Verräter,traitor
555,atligan* 1,got,V.,"dabeiliegen, vorliegen, vorhanden sein (V.)","lie (V.) (2) at hand, lie (V.) (2) adjacent to"
556,atnēƕjan* 6,got,V.,herannahen,"draw near to, approach (V.), come near"
557,atniman* 1,got,V.,"aufnehmen, versetzen, annehmen","take unto, transfer to, bring into"
558,atochta 1,got,Adj.,schlecht,bad
559,atrinnan* 1,got,V.,"hinzulaufen, hinzurennen","run thither, run up to, come up"
560,atsaíƕan* 109,got,V.,"sehen auf, sich in Acht nehmen, sich hüten","give heed, watch out, be careful, be watchful, note (V.)"
561,atsatjan 3,got,V.,darstellen,"present (V.), set before"
562,atsnarpjan* 1,got,V.,"anfassen, anrühren, berühren, angreifen","pinch (V.), grasp (V.), touch (V.), make shrivelled by touching, crumple, make w>>>"
563,*atsniwan?,got,V.,hinzueilen,"hasten thither, reach with haste, arrive with haste"
564,atstandan* 8,got,V.,"dabeistehen, eintreten, hinzukommen, hinzutreten, zugegen sein (V.)","stand adjacently, stand within reach, stand near, stand nearby, come to stand ne>>>"
565,atsteigan* 16,got,V.,hinabsteigen,"climb down, descend"
566,atta 241240,got,M.,"Vater, Vorfahre",father (M.)
567,attēkan 21,got,V.,"berühren, anrühren","touch (V.), make contact with, lay one’s touch upon"
568,attiuhan 12,got,V.,"herbeiziehen, herbeiführen, herbeibringen, hereinführen, bringen","bring up, take up, convey (V.), conduct into proximity"
569,atþinsan* 2,got,V.,"heranziehen, herbeiziehen, herzuziehen","draw towards, pull up to"
570,*atugs?,got,Adj.,schlecht,bad
571,atwaírpan 4,got,V.,"hinwerfen, hinstrecken, werfen","make arrive at by throwing, make reach by throwing, hurl into the location of, c>>>"
572,atwalwjan* 1,got,V.,"hinzuwälzen, hinwälzen","roll up, make roll up, roll against, move to by rolling"
573,atwandjan* 1,got,V.,"zuwenden, zurückkehren","make arrive at by turning, make turn forth to, return (V.)"
574,atwisan* 3,got,V.,"da sein (V.), zur Hand liegen","be at hand, be imminent, be present"
575,atwitains* 1,got,F.,"Beobachten, Beobachtung, Wahrnehmung","surveillance, watchfulness, observation, look-out"
576,*atwitan?,got,V.,beobachten,"observe, be on the lookout"
